date,close
2012/2/3 0:00,17.46
2012/2/6 0:00,17.39
2012/2/7 0:00,17.46
2012/2/8 0:00,17.43
2012/2/9 0:00,17.46
2012/2/10 0:00,17.21
2012/2/13 0:00,17.41
2012/2/14 0:00,17.3
2012/2/15 0:00,17.27
2012/2/16 0:00,17.49
2012/2/17 0:00,17.57
2012/2/21 0:00,17.47
2012/2/22 0:00,17.36
2012/2/23 0:00,17.52
2012/2/24 0:00,17.66
2012/2/27 0:00,17.53
2012/2/28 0:00,17.65
2012/2/29 0:00,17.53
2012/3/1 0:00,17.78
2012/3/2 0:00,17.57
2012/3/5 0:00,17.5
2012/3/6 0:00,16.92
2012/3/7 0:00,17.1
2012/3/8 0:00,17.32
2012/3/9 0:00,17.27
2012/3/12 0:00,17.27
2012/3/13 0:00,17.62
2012/3/14 0:00,17.47
2012/3/15 0:00,17.51
2012/3/16 0:00,17.69
2012/3/19 0:00,17.73
2012/3/20 0:00,17.51
2012/3/21 0:00,17.46
2012/3/22 0:00,17.3
2012/3/23 0:00,17.41
2012/3/26 0:00,17.66
2012/3/27 0:00,17.5
2012/3/28 0:00,17.26
2012/3/29 0:00,17.2
2012/3/30 0:00,17.3
2012/4/2 0:00,17.69
2012/4/3 0:00,17.42
2012/4/4 0:00,17.05
2012/4/5 0:00,16.94
2012/4/9 0:00,16.91
2012/4/10 0:00,16.49
2012/4/11 0:00,16.75
2012/4/12 0:00,17.11
2012/4/13 0:00,16.75
2012/4/16 0:00,16.91
2012/4/17 0:00,17.22
2012/4/18 0:00,17.28
2012/4/19 0:00,17.29
2012/4/20 0:00,17.41
2012/4/23 0:00,17.17
2012/4/24 0:00,17.25
2012/4/25 0:00,17.39
2012/4/26 0:00,17.51
2012/4/27 0:00,17.65
2012/4/30 0:00,17.55
2012/5/1 0:00,17.69
2012/5/2 0:00,17.6
2012/5/3 0:00,17.45
2012/5/4 0:00,17.14
2012/5/7 0:00,17.31
2012/5/8 0:00,17.01
2012/5/9 0:00,16.82
2012/5/10 0:00,16.88
2012/5/11 0:00,16.77
2012/5/14 0:00,16.51
2012/5/15 0:00,16.3
2012/5/16 0:00,16.15
2012/5/17 0:00,15.8
2012/5/18 0:00,15.65
2012/5/21 0:00,15.99
2012/5/22 0:00,15.96
2012/5/23 0:00,15.82
2012/5/24 0:00,15.83
2012/5/25 0:00,15.79
2012/5/29 0:00,15.93
2012/5/30 0:00,15.49
2012/5/31 0:00,15.55
2012/6/1 0:00,15.28
2012/6/4 0:00,15.38
2012/6/5 0:00,15.43
2012/6/6 0:00,15.91
2012/6/7 0:00,16.03
2012/6/8 0:00,16.01
2012/6/11 0:00,15.87
2012/6/12 0:00,16.25
2012/6/13 0:00,16.06
2012/6/14 0:00,16.16
2012/6/15 0:00,16.38
2012/6/18 0:00,16.34
2012/6/19 0:00,16.65
2012/6/20 0:00,16.76
2012/6/21 0:00,15.89
2012/6/22 0:00,16.01
2012/6/25 0:00,15.72
2012/6/26 0:00,15.88
2012/6/27 0:00,16.02
2012/6/28 0:00,15.93
2012/6/29 0:00,16.29
2012/7/2 0:00,16.52
2012/7/3 0:00,16.57
2012/7/5 0:00,16.43
2012/7/6 0:00,16.36
2012/7/9 0:00,16.34
2012/7/10 0:00,16.27
2012/7/11 0:00,16.35
2012/7/12 0:00,16.16
2012/7/13 0:00,16.45
2012/7/16 0:00,16.46
