date,close
2012/2/3 0:00,59.03
2012/2/6 0:00,58.32
2012/2/7 0:00,58.68
2012/2/8 0:00,59.17
2012/2/9 0:00,59.19
2012/2/10 0:00,57.71
2012/2/13 0:00,58.82
2012/2/14 0:00,58.38
2012/2/15 0:00,58.89
2012/2/16 0:00,58.95
2012/2/17 0:00,59.42
2012/2/21 0:00,59.16
2012/2/22 0:00,59.06
2012/2/23 0:00,58.52
2012/2/24 0:00,59.24
2012/2/27 0:00,58.39
2012/2/28 0:00,58.93
2012/2/29 0:00,59.87
2012/3/1 0:00,60.31
2012/3/2 0:00,60.14
2012/3/5 0:00,59.36
2012/3/6 0:00,57.64
2012/3/7 0:00,58.38
2012/3/8 0:00,59.71
2012/3/9 0:00,59.71
2012/3/12 0:00,58.95
2012/3/13 0:00,60.79
2012/3/14 0:00,60.03
2012/3/15 0:00,60.66
2012/3/16 0:00,60.46
2012/3/19 0:00,60.74
2012/3/20 0:00,59.9
2012/3/21 0:00,59.67
2012/3/22 0:00,59.01
2012/3/23 0:00,59.37
2012/3/26 0:00,60.18
2012/3/27 0:00,59.87
2012/3/28 0:00,59.34
2012/3/29 0:00,59.22
2012/3/30 0:00,59.54
2012/4/2 0:00,60.62
2012/4/3 0:00,61.07
2012/4/4 0:00,59.88
2012/4/5 0:00,60.31
2012/4/9 0:00,59.23
2012/4/10 0:00,57.75
2012/4/11 0:00,58.52
2012/4/12 0:00,59.4
2012/4/13 0:00,59.03
2012/4/16 0:00,58.92
2012/4/17 0:00,59.39
2012/4/18 0:00,59.02
2012/4/19 0:00,58.69
2012/4/20 0:00,58.4
2012/4/23 0:00,57.58
2012/4/24 0:00,57.82
2012/4/25 0:00,58.44
2012/4/26 0:00,58.88
2012/4/27 0:00,59.22
2012/4/30 0:00,59.24
2012/5/1 0:00,59.61
2012/5/2 0:00,59.79
2012/5/3 0:00,59.5
2012/5/4 0:00,58.34
2012/5/7 0:00,58.48
2012/5/8 0:00,57.95
2012/5/9 0:00,57.21
2012/5/10 0:00,57.22
2012/5/11 0:00,56.21
2012/5/14 0:00,55.49
2012/5/15 0:00,54.83
2012/5/16 0:00,52.94
2012/5/17 0:00,52.25
2012/5/18 0:00,51.44
2012/5/21 0:00,52.67
2012/5/22 0:00,52.62
2012/5/23 0:00,52.26
2012/5/24 0:00,51.77
2012/5/25 0:00,51.68
2012/5/29 0:00,53.08
2012/5/30 0:00,52.27
2012/5/31 0:00,52.62
2012/6/1 0:00,51.42
2012/6/4 0:00,51.35
2012/6/5 0:00,51.49
2012/6/6 0:00,52.95
2012/6/7 0:00,53.8
2012/6/8 0:00,53.37
2012/6/11 0:00,52.84
2012/6/12 0:00,54.14
2012/6/13 0:00,53.81
2012/6/14 0:00,54.41
2012/6/15 0:00,54.68
2012/6/18 0:00,55.06
2012/6/19 0:00,55.96
2012/6/20 0:00,55.74
2012/6/21 0:00,54.15
2012/6/22 0:00,53.72
2012/6/25 0:00,52.03
2012/6/26 0:00,52.36
2012/6/27 0:00,52.69
2012/6/28 0:00,52.39
2012/6/29 0:00,54.81
2012/7/2 0:00,54.24
2012/7/3 0:00,55.36
2012/7/5 0:00,55.17
2012/7/6 0:00,53.73
2012/7/9 0:00,53.37
2012/7/10 0:00,52.85
2012/7/11 0:00,52.96
2012/7/12 0:00,51.73
2012/7/13 0:00,52.88
2012/7/16 0:00,52.64
2012/7/17 0:00,53.39
2012/7/18 0:00,52.86
2012/7/19 0:00,53.58
2012/7/20 0:00,52.98
2012/7/23 0:00,51.63
2012/7/24 0:00,51.53
2012/7/25 0:00,51.73
2012/7/26 0:00,52.83
2012/7/27 0:00,54.93
2012/7/30 0:00,54.53
2012/7/31 0:00,55.59
2012/8/1 0:00,55.89
2012/8/2 0:00,54.68
2012/8/3 0:00,55.96
2012/8/6 0:00,56.31
2012/8/7 0:00,56.63
2012/8/8 0:00,56.79
2012/8/9 0:00,57.76
2012/8/10 0:00,58.33
2012/8/13 0:00,57.62
2012/8/14 0:00,58.05
2012/8/15 0:00,57.72
2012/8/16 0:00,58.3
2012/8/17 0:00,57.76
2012/8/20 0:00,57.98
2012/8/21 0:00,57.58
2012/8/22 0:00,57.49
2012/8/23 0:00,57.08
2012/8/24 0:00,57.17
2012/8/27 0:00,56.42
2012/8/28 0:00,56.45
2012/8/29 0:00,56.78
2012/8/30 0:00,55.83
2012/8/31 0:00,56.29
2012/9/4 0:00,55.92
2012/9/5 0:00,55.08
2012/9/6 0:00,56.36
2012/9/7 0:00,57.69
2012/9/10 0:00,56.83
2012/9/11 0:00,57.33
2012/9/12 0:00,57.93
2012/9/13 0:00,59.53
2012/9/14 0:00,60.55
2012/9/17 0:00,59.84
2012/9/18 0:00,59.93
2012/9/19 0:00,60.11
2012/9/20 0:00,59.54
2012/9/21 0:00,59.52
2012/9/24 0:00,59.55
2012/9/25 0:00,58.52
2012/9/26 0:00,58.36
2012/9/27 0:00,59.61
2012/9/28 0:00,59.13
2012/10/1 0:00,59.65
2012/10/2 0:00,59.18
2012/10/3 0:00,59.31
2012/10/4 0:00,59.75
2012/10/5 0:00,59.86
2012/10/8 0:00,59.3
2012/10/9 0:00,58.45
2012/10/10 0:00,57.45
2012/10/11 0:00,57.67
2012/10/12 0:00,57.24
2012/10/15 0:00,57.75
2012/10/16 0:00,58.54
2012/10/17 0:00,58.96
2012/10/18 0:00,58.94
2012/10/19 0:00,57.43
2012/10/22 0:00,58.22
2012/10/23 0:00,56.64
2012/10/24 0:00,56.63
2012/10/25 0:00,57.87
2012/10/26 0:00,57.37
2012/10/31 0:00,57.58
2012/11/1 0:00,58.08
2012/11/2 0:00,57.86
2012/11/5 0:00,58.06
2012/11/6 0:00,58.85
2012/11/7 0:00,57.95
2012/11/8 0:00,57.17
2012/11/9 0:00,57.32
2012/11/12 0:00,57.68
2012/11/13 0:00,57.13
2012/11/14 0:00,56.61
2012/11/15 0:00,56.75
2012/11/16 0:00,56.65
2012/11/19 0:00,58.09
2012/11/20 0:00,58.34
2012/11/21 0:00,58.1
2012/11/23 0:00,59.01
2012/11/26 0:00,58.76
2012/11/27 0:00,58.85
2012/11/28 0:00,59.37
2012/11/29 0:00,59.7
2012/11/30 0:00,59.64
2012/12/3 0:00,59.65
2012/12/4 0:00,59.6
2012/12/5 0:00,59.95
2012/12/6 0:00,60.48
2012/12/7 0:00,60.83
2012/12/10 0:00,61.22
2012/12/11 0:00,61.8
2012/12/12 0:00,61.83
2012/12/13 0:00,62.06
2012/12/14 0:00,62.11
2012/12/17 0:00,62.48
2012/12/18 0:00,62.32
2012/12/19 0:00,62.38
2012/12/20 0:00,62.29
2012/12/21 0:00,61.65
2012/12/24 0:00,61.53
2012/12/26 0:00,61.38
2012/12/27 0:00,61.66
2012/12/28 0:00,62.26
2012/12/31 0:00,63.35
2013/1/2 0:00,64.97
2013/1/3 0:00,63.86
2013/1/4 0:00,63.6
2013/1/7 0:00,63.07
2013/1/8 0:00,62.66
2013/1/9 0:00,62.66
2013/1/10 0:00,63.42
2013/1/11 0:00,63.06
2013/1/14 0:00,62.98
2013/1/15 0:00,62.54
2013/1/16 0:00,62.15
2013/1/17 0:00,62.72
2013/1/18 0:00,62.45
2013/1/22 0:00,62.31
2013/1/23 0:00,61.62
2013/1/24 0:00,60.99
2013/1/25 0:00,59.78
2013/1/28 0:00,59.12
2013/1/29 0:00,59.9
2013/1/30 0:00,59.58
2013/1/31 0:00,59.57
2013/2/1 0:00,59.54
2013/2/4 0:00,58.81
2013/2/5 0:00,59.03
2013/2/6 0:00,58.72
2013/2/7 0:00,58.51
2013/2/8 0:00,59.56
2013/2/11 0:00,59.8
2013/2/12 0:00,59.8
2013/2/13 0:00,60.57
2013/2/14 0:00,61.01
2013/2/15 0:00,60.98
2013/2/19 0:00,61.21
2013/2/20 0:00,61.76
2013/2/21 0:00,61.48
2013/2/22 0:00,61.98
2013/2/25 0:00,60.51
2013/2/26 0:00,61.31
2013/2/27 0:00,62.18
2013/2/28 0:00,61.69
2013/3/1 0:00,61.94
2013/3/4 0:00,61.65
2013/3/5 0:00,62.19
2013/3/6 0:00,61.78
2013/3/7 0:00,61.49
2013/3/8 0:00,61.1
2013/3/11 0:00,60.67
2013/3/12 0:00,59.91
2013/3/13 0:00,59.78
2013/3/14 0:00,59.79
2013/3/15 0:00,58.79
2013/3/18 0:00,58.4
2013/3/19 0:00,58.19
2013/3/20 0:00,58.05
2013/3/21 0:00,57.18
2013/3/22 0:00,57.77
2013/3/25 0:00,58.48
2013/3/26 0:00,59.45
2013/3/27 0:00,59.55
2013/3/28 0:00,59.43
2013/4/1 0:00,58.81
2013/4/2 0:00,58.44
2013/4/3 0:00,57.91
2013/4/4 0:00,56.87
2013/4/5 0:00,55.77
2013/4/8 0:00,55.48
2013/4/9 0:00,55.93
2013/4/10 0:00,57
2013/4/11 0:00,56.91
2013/4/12 0:00,55.12
2013/4/15 0:00,54.89
2013/4/16 0:00,56.58
2013/4/17 0:00,55.64
2013/4/18 0:00,54.8
2013/4/19 0:00,55.24
2013/4/22 0:00,55.88
2013/4/23 0:00,56.09
2013/4/24 0:00,56.45
2013/4/25 0:00,57.32
2013/4/26 0:00,56.85
2013/4/29 0:00,57.28
2013/4/30 0:00,58.42
2013/5/1 0:00,57.84
2013/5/2 0:00,58.18
2013/5/3 0:00,58.65
2013/5/6 0:00,58.28
2013/5/7 0:00,58.51
2013/5/8 0:00,58.64
2013/5/9 0:00,58.7
2013/5/10 0:00,57.05
2013/5/13 0:00,56.79
2013/5/14 0:00,57.82
2013/5/15 0:00,57.6
2013/5/16 0:00,58.12
2013/5/17 0:00,58.17
2013/5/20 0:00,58.41
2013/5/21 0:00,58.36
2013/5/22 0:00,57.88
2013/5/23 0:00,57.45
2013/5/24 0:00,57.13
2013/5/28 0:00,57.72
2013/5/29 0:00,57.82
2013/5/30 0:00,58.36
2013/5/31 0:00,57.64
2013/6/3 0:00,58.8
2013/6/4 0:00,58.11
2013/6/5 0:00,57.12
2013/6/6 0:00,57.37
2013/6/7 0:00,56.51
2013/6/10 0:00,55.87
2013/6/11 0:00,55.12
2013/6/12 0:00,54.67
2013/6/13 0:00,54.94
2013/6/14 0:00,54.18
2013/6/17 0:00,54.5
2013/6/18 0:00,54.8
2013/6/19 0:00,53.39
2013/6/20 0:00,51.35
2013/6/21 0:00,51.3
2013/6/24 0:00,50.15
2013/6/25 0:00,51.06
2013/6/26 0:00,51
2013/6/27 0:00,52.8
2013/6/28 0:00,53.2
2013/7/1 0:00,53.79
2013/7/2 0:00,53
2013/7/3 0:00,52.42
2013/7/5 0:00,51.71
2013/7/8 0:00,51.84
2013/7/9 0:00,52.47
2013/7/10 0:00,52.32
2013/7/11 0:00,55.15
2013/7/12 0:00,54.5
2013/7/15 0:00,54.95
2013/7/16 0:00,54.81
2013/7/17 0:00,55.42
2013/7/18 0:00,54.78
2013/7/19 0:00,54.91
2013/7/22 0:00,55.22
2013/7/23 0:00,55.67
2013/7/24 0:00,55.5
2013/7/25 0:00,56.04
2013/7/26 0:00,56.44
2013/7/29 0:00,55.89
2013/7/30 0:00,56.09
2013/7/31 0:00,55.83
2013/8/1 0:00,56.44
2013/8/2 0:00,56.55
2013/8/5 0:00,56.37
2013/8/6 0:00,55.92
2013/8/7 0:00,55.16
2013/8/8 0:00,55.67
2013/8/9 0:00,55.36
2013/8/12 0:00,55.57
2013/8/13 0:00,56.31
2013/8/14 0:00,56.56
2013/8/15 0:00,56.13
2013/8/16 0:00,56.51
2013/8/19 0:00,56.14
2013/8/20 0:00,55.83
2013/8/21 0:00,54.42
2013/8/22 0:00,54.83
2013/8/23 0:00,55.62
2013/8/26 0:00,55.76
2013/8/27 0:00,55.09
2013/8/28 0:00,55.9
2013/8/29 0:00,57.06
2013/8/30 0:00,57.23
2013/9/3 0:00,57.78
2013/9/4 0:00,59.14
2013/9/5 0:00,59.36
2013/9/6 0:00,60.4
2013/9/9 0:00,61.14
2013/9/10 0:00,61.65
2013/9/11 0:00,61.97
2013/9/12 0:00,61.38
2013/9/13 0:00,61.45
2013/9/16 0:00,62.03
2013/9/17 0:00,61.75
2013/9/18 0:00,64.28
2013/9/19 0:00,63.97
2013/9/20 0:00,62.68
2013/9/23 0:00,62.45
2013/9/24 0:00,62.42
2013/9/25 0:00,61.76
2013/9/26 0:00,62.43
2013/9/27 0:00,62.19
2013/9/30 0:00,61.5
2013/10/1 0:00,62.4
2013/10/2 0:00,62.49
2013/10/3 0:00,62.36
2013/10/4 0:00,62.52
2013/10/7 0:00,62.17
2013/10/8 0:00,62.01
2013/10/9 0:00,62.25
2013/10/10 0:00,63.44
2013/10/11 0:00,63.87
2013/10/14 0:00,64.07
2013/10/15 0:00,64.12
2013/10/16 0:00,64.69
2013/10/17 0:00,65.28
2013/10/18 0:00,65.52
2013/10/21 0:00,65.29
2013/10/22 0:00,65.68
2013/10/23 0:00,64.47
2013/10/24 0:00,64.67
2013/10/25 0:00,64.45
2013/10/28 0:00,64.9
2013/10/29 0:00,65.25
2013/10/30 0:00,65.06
2013/10/31 0:00,63.9
2013/11/1 0:00,64.35
2013/11/4 0:00,64.16
2013/11/5 0:00,63.34
2013/11/6 0:00,63.7
2013/11/7 0:00,62.4
2013/11/8 0:00,62.51
2013/11/11 0:00,61.96
2013/11/12 0:00,62.21
2013/11/13 0:00,61.73
2013/11/14 0:00,62.17
2013/11/15 0:00,63.81
2013/11/18 0:00,64.09
2013/11/19 0:00,64.48
2013/11/20 0:00,63.66
2013/11/21 0:00,63.26
2013/11/22 0:00,63.43
2013/11/25 0:00,63.2
2013/11/26 0:00,63.81
2013/11/27 0:00,64.29
2013/11/29 0:00,65.03
2013/12/2 0:00,63.9
2013/12/3 0:00,63.27
2013/12/4 0:00,62.7
2013/12/5 0:00,62.45
2013/12/6 0:00,63.51
2013/12/9 0:00,63.87
2013/12/10 0:00,63.64
2013/12/11 0:00,62.34
2013/12/12 0:00,62.13
2013/12/13 0:00,62.33
2013/12/16 0:00,63.16
2013/12/17 0:00,62.67
2013/12/18 0:00,62.98
2013/12/19 0:00,61.88
2013/12/20 0:00,61.89
2013/12/23 0:00,62.58
2013/12/24 0:00,62.65
2013/12/26 0:00,62.27
2013/12/27 0:00,63.74
2013/12/30 0:00,63.89
2013/12/31 0:00,64.67
2014/1/2 0:00,61.64
2014/1/3 0:00,61.26
2014/1/6 0:00,60.77
2014/1/7 0:00,61
2014/1/8 0:00,60.73
2014/1/9 0:00,60.52
2014/1/10 0:00,60.64
2014/1/13 0:00,60.51
2014/1/14 0:00,60.89
2014/1/15 0:00,60.78
2014/1/16 0:00,60.75
2014/1/17 0:00,60.39
2014/1/21 0:00,60.49
2014/1/22 0:00,60.81
2014/1/23 0:00,59.35
2014/1/24 0:00,57.64
2014/1/27 0:00,58.14
2014/1/28 0:00,58.72
2014/1/29 0:00,58.52
2014/1/30 0:00,58.93
2014/1/31 0:00,59.04
2014/2/3 0:00,57.47
2014/2/4 0:00,57.91
2014/2/5 0:00,58.03
2014/2/6 0:00,58.92
2014/2/7 0:00,59.22
2014/2/10 0:00,58.96
2014/2/11 0:00,59.88
2014/2/12 0:00,60.05
2014/2/13 0:00,59.81
2014/2/14 0:00,60.73
2014/2/18 0:00,60.13
2014/2/19 0:00,59.54
2014/2/20 0:00,59.5
2014/2/21 0:00,59.88
2014/2/24 0:00,60.23
2014/2/25 0:00,60.18
2014/2/26 0:00,60.69
2014/2/27 0:00,61.38
2014/2/28 0:00,61.08
2014/3/3 0:00,60.58
2014/3/4 0:00,61.08
2014/3/5 0:00,60.92
2014/3/6 0:00,61.62
2014/3/7 0:00,61.28
2014/3/10 0:00,60.53
2014/3/11 0:00,60.15
2014/3/12 0:00,59.77
2014/3/13 0:00,58.76
