date,close
2012/2/3 0:00,26.72
2012/2/6 0:00,26.51
2012/2/7 0:00,26.27
2012/2/8 0:00,26.56
2012/2/9 0:00,26.49
2012/2/10 0:00,26.01
2012/2/13 0:00,26.21
2012/2/14 0:00,26.21
2012/2/15 0:00,26.71
2012/2/16 0:00,26.93
2012/2/17 0:00,27.19
2012/2/21 0:00,27.4
2012/2/22 0:00,26.86
2012/2/23 0:00,26.79
2012/2/24 0:00,26.75
2012/2/27 0:00,25.91
2012/2/28 0:00,26.28
2012/2/29 0:00,26
2012/3/1 0:00,26.01
2012/3/2 0:00,25.97
2012/3/5 0:00,25.31
2012/3/6 0:00,24.43
2012/3/7 0:00,24.71
2012/3/8 0:00,25.23
2012/3/9 0:00,25.84
2012/3/12 0:00,25.5
2012/3/13 0:00,26.29
2012/3/14 0:00,25.91
2012/3/15 0:00,25.88
2012/3/16 0:00,25.46
2012/3/19 0:00,25.18
2012/3/20 0:00,24.75
2012/3/21 0:00,25.3
2012/3/22 0:00,24
2012/3/23 0:00,24.59
2012/3/26 0:00,24.4
2012/3/27 0:00,24.59
2012/3/28 0:00,24.2
2012/3/29 0:00,24
2012/3/30 0:00,24.85
2012/4/2 0:00,25.22
2012/4/3 0:00,25.18
2012/4/4 0:00,24.76
2012/4/5 0:00,24.85
2012/4/9 0:00,24.71
2012/4/10 0:00,23.97
2012/4/11 0:00,24.25
2012/4/12 0:00,24.79
2012/4/13 0:00,23.88
2012/4/16 0:00,24.05
2012/4/17 0:00,24.69
2012/4/18 0:00,24.3
2012/4/19 0:00,24.21
2012/4/20 0:00,24.25
2012/4/23 0:00,23.25
2012/4/24 0:00,23.54
2012/4/25 0:00,23.51
2012/4/26 0:00,23.6
2012/4/27 0:00,23.6
2012/4/30 0:00,23.64
2012/5/1 0:00,23.72
2012/5/2 0:00,23.29
2012/5/3 0:00,22.92
2012/5/4 0:00,22.41
2012/5/7 0:00,22.41
2012/5/8 0:00,22.18
2012/5/9 0:00,22.01
2012/5/10 0:00,22.07
2012/5/11 0:00,21.92
2012/5/14 0:00,21.5
2012/5/15 0:00,21.57
2012/5/16 0:00,21.18
2012/5/17 0:00,20.88
2012/5/18 0:00,21.18
2012/5/21 0:00,21.18
2012/5/22 0:00,20.85
2012/5/23 0:00,20.15
2012/5/24 0:00,20.79
2012/5/25 0:00,20.79
2012/5/29 0:00,21.21
2012/5/30 0:00,20.61
2012/5/31 0:00,20.8
2012/6/1 0:00,20.56
2012/6/4 0:00,20.66
2012/6/5 0:00,20.66
2012/6/6 0:00,21.45
2012/6/7 0:00,21.78
2012/6/8 0:00,21.75
2012/6/11 0:00,21.2
2012/6/12 0:00,21.59
2012/6/13 0:00,21.76
2012/6/14 0:00,21.53
2012/6/15 0:00,21.86
2012/6/18 0:00,21.55
2012/6/19 0:00,21.74
2012/6/20 0:00,21.47
2012/6/21 0:00,21.18
2012/6/22 0:00,21.15
2012/6/25 0:00,20.99
2012/6/26 0:00,21.17
2012/6/27 0:00,21.41
2012/6/28 0:00,21.19
2012/6/29 0:00,22.56
2012/7/2 0:00,22.53
2012/7/3 0:00,23.07
2012/7/5 0:00,22.78
2012/7/6 0:00,22.32
2012/7/9 0:00,22.32
2012/7/10 0:00,22.38
2012/7/11 0:00,22.38
2012/7/12 0:00,22.02
2012/7/13 0:00,22.56
2012/7/16 0:00,22.22
2012/7/17 0:00,22.19
2012/7/18 0:00,22.05
2012/7/19 0:00,22.43
2012/7/20 0:00,22.1
2012/7/23 0:00,21.42
2012/7/24 0:00,21.42
2012/7/25 0:00,21.52
2012/7/26 0:00,21.52
2012/7/27 0:00,21.52
2012/7/30 0:00,22.15
2012/7/31 0:00,22.08
2012/8/1 0:00,22.08
2012/8/2 0:00,21.68
2012/8/3 0:00,21.68
2012/8/6 0:00,22.61
2012/8/7 0:00,22.96
2012/8/8 0:00,22.96
2012/8/9 0:00,22.8
2012/8/10 0:00,22.8
2012/8/13 0:00,22.68
2012/8/14 0:00,22.77
2012/8/15 0:00,22.74
2012/8/16 0:00,22.96
2012/8/17 0:00,22.75
2012/8/20 0:00,22.86
2012/8/21 0:00,23.38
2012/8/22 0:00,23.11
2012/8/23 0:00,23.11
2012/8/24 0:00,23.03
2012/8/27 0:00,22.75
2012/8/28 0:00,22.75
2012/8/29 0:00,22.56
2012/8/30 0:00,22.49
2012/8/31 0:00,22.4
2012/9/4 0:00,22.4
2012/9/5 0:00,22.18
2012/9/6 0:00,22.52
2012/9/7 0:00,22.97
2012/9/10 0:00,22.97
2012/9/11 0:00,22.97
2012/9/12 0:00,23.35
2012/9/13 0:00,23.75
2012/9/14 0:00,24.57
2012/9/17 0:00,24.39
2012/9/18 0:00,24.16
2012/9/19 0:00,24.56
2012/9/20 0:00,24.42
2012/9/21 0:00,24.42
2012/9/24 0:00,24.42
2012/9/25 0:00,25.31
2012/9/26 0:00,24.86
2012/9/27 0:00,25.4
2012/9/28 0:00,25.4
2012/10/1 0:00,26.12
2012/10/2 0:00,26.21
2012/10/3 0:00,26.4
2012/10/4 0:00,27.06
2012/10/5 0:00,26.71
2012/10/8 0:00,26.05
2012/10/9 0:00,25.79
2012/10/10 0:00,25.35
2012/10/11 0:00,25.7
2012/10/12 0:00,25.34
2012/10/15 0:00,25.61
2012/10/16 0:00,25.36
2012/10/17 0:00,25.4
2012/10/18 0:00,25.13
2012/10/19 0:00,25.08
2012/10/22 0:00,25.28
2012/10/23 0:00,25.1
2012/10/24 0:00,24.95
2012/10/25 0:00,25.28
2012/10/26 0:00,25.03
2012/10/31 0:00,24.72
2012/11/1 0:00,25.31
2012/11/2 0:00,25.4
2012/11/5 0:00,25.04
2012/11/6 0:00,25.05
2012/11/7 0:00,25.01
2012/11/8 0:00,25.17
2012/11/9 0:00,24.85
2012/11/12 0:00,24.68
2012/11/13 0:00,24.58
2012/11/14 0:00,24.32
2012/11/15 0:00,24.89
2012/11/16 0:00,24.18
2012/11/19 0:00,24.39
2012/11/20 0:00,24.13
2012/11/21 0:00,24.13
2012/11/23 0:00,24.42
2012/11/26 0:00,24.42
2012/11/27 0:00,24.71
2012/11/28 0:00,24.67
2012/11/29 0:00,25.44
2012/11/30 0:00,25.75
2012/12/3 0:00,25.69
2012/12/4 0:00,25.69
2012/12/5 0:00,26.03
2012/12/6 0:00,26.23
2012/12/7 0:00,26.01
2012/12/10 0:00,26.25
2012/12/11 0:00,26
2012/12/12 0:00,26
2012/12/13 0:00,25.83
2012/12/14 0:00,25.78
2012/12/17 0:00,25.78
2012/12/18 0:00,26
2012/12/19 0:00,26.07
2012/12/20 0:00,26.13
2012/12/21 0:00,25.63
2012/12/24 0:00,25.69
2012/12/26 0:00,26.05
2012/12/27 0:00,26.48
2012/12/28 0:00,25.74
2012/12/31 0:00,26.23
2013/1/2 0:00,26.72
2013/1/3 0:00,26.61
2013/1/4 0:00,26.48
2013/1/7 0:00,26.12
2013/1/8 0:00,26.19
2013/1/9 0:00,26.27
2013/1/10 0:00,26.41
2013/1/11 0:00,26.24
2013/1/14 0:00,26.68
2013/1/15 0:00,26.78
2013/1/16 0:00,26.64
2013/1/17 0:00,27.05
2013/1/18 0:00,27.29
2013/1/22 0:00,27.2
2013/1/23 0:00,27.04
2013/1/24 0:00,26.88
2013/1/25 0:00,26.89
2013/1/28 0:00,26.95
2013/1/29 0:00,27.12
2013/1/30 0:00,27.26
2013/1/31 0:00,27.15
2013/2/1 0:00,27.4
2013/2/4 0:00,26.79
2013/2/5 0:00,26.88
2013/2/6 0:00,26.94
2013/2/7 0:00,26.53
2013/2/8 0:00,26.26
2013/2/11 0:00,26.23
2013/2/12 0:00,26.42
2013/2/13 0:00,26.35
2013/2/14 0:00,26.05
2013/2/15 0:00,25.73
2013/2/19 0:00,26.37
2013/2/20 0:00,26.16
2013/2/21 0:00,25.44
2013/2/22 0:00,25.71
2013/2/25 0:00,25.75
2013/2/26 0:00,25.63
2013/2/27 0:00,25.95
2013/2/28 0:00,25.01
2013/3/1 0:00,24.77
2013/3/4 0:00,25.03
2013/3/5 0:00,25.34
2013/3/6 0:00,25.38
2013/3/7 0:00,25.89
2013/3/8 0:00,26.36
2013/3/11 0:00,26.31
2013/3/12 0:00,26.11
2013/3/13 0:00,25.9
2013/3/14 0:00,26.24
2013/3/15 0:00,26.14
2013/3/18 0:00,25.9
2013/3/19 0:00,25.21
2013/3/20 0:00,25.2
2013/3/21 0:00,24.8
2013/3/22 0:00,24.92
2013/3/25 0:00,24.87
