date,EPU
2012/2/1,114.4012375
2012/3/1,111.1845932
2012/4/1,122.1959839
2012/5/1,174.7523804
2012/6/1,207.792984
2012/7/1,152.1266479
2012/8/1,131.9577942
2012/9/1,160.979126
2012/10/1,175.7323456
2012/11/1,188.5587463
2012/12/1,164.7284241
2013/1/1,192.9524231
2013/2/1,164.4231415
2013/3/1,125.9201736
2013/4/1,134.6317902
2013/5/1,109.6427612
2013/6/1,149.0504608
2013/7/1,116.5053253
2013/8/1,98.12825775
2013/9/1,122.0067749
2013/10/1,143.5281525
2013/11/1,84.72370911
2013/12/1,125.7977142
2014/1/1,105.6411285
2014/2/1,80.79807282
2014/3/1,55.90073013
2014/4/1,65.95553589
2014/5/1,66.65896606
2014/6/1,70.28411865
2014/7/1,92.39057922
2014/8/1,79.65977478
2014/9/1,64.48342896
2014/10/1,88.13387299
2014/11/1,104.9105988
2014/12/1,107.7613602
2015/1/1,165.8157959
2015/2/1,125.8762665
2015/3/1,97.98577881
2015/4/1,76.98116303
2015/5/1,87.52241516
2015/6/1,130.553772
2015/7/1,126.2726212
2015/8/1,144.3470764
2015/9/1,190.6709442
2015/10/1,126.6414032
2015/11/1,94.25080109
2015/12/1,172.0449982
2016/1/1,181.9397678
2016/2/1,166.5955244
2016/3/1,112.4348088
2016/4/1,100.9960258
2016/5/1,103.9214401
2016/6/1,274.8091195
2016/7/1,214.1075253
2016/8/1,101.3116407
2016/9/1,123.5489835
2016/10/1,122.1712473
2016/11/1,387.9708219
2016/12/1,375.9069745
2017/1/1,391.7983996
2017/2/1,299.674847
2017/3/1,220.4021625
2017/4/1,165.3969514
2017/5/1,118.962016
2017/6/1,118.9507594
2017/7/1,97.31102292
2017/8/1,90.03429419
2017/9/1,102.0899353
2017/10/1,120.3185531
2017/11/1,93.28915903
2017/12/1,111.0299851
2018/1/1,95.63025873
2018/2/1,71.15735386
2018/3/1,129.418991
2018/4/1,103.8559255
2018/5/1,134.9642515
2018/6/1,126.3293888
2018/7/1,155.1538729
2018/8/1,149.4844141
2018/9/1,153.9600572
2018/10/1,176.2110793
2018/11/1,203.2453711
2018/12/1,243.0335581
2019/1/1,249.4365022
2019/2/1,146.8237611
2019/3/1,172.9947627
2019/4/1,138.9111784
2019/5/1,230.1457518
2019/6/1,248.5288699
2019/7/1,316.8554612
2019/8/1,538.1767645
2019/9/1,275.1985474
2019/10/1,274.0244017
2019/11/1,239.3559503
2019/12/1,257.8861252
2020/1/1,255.2304948
2020/2/1,159.1516522
2020/3/1,224.8715613
2020/4/1,211.4946152
2020/5/1,252.0868152
2020/6/1,224.3912065
2020/7/1,160.6975351
2020/8/1,162.8207108
2020/9/1,136.2968059
2020/10/1,189.3790961
2020/11/1,287.6910663
2020/12/1,182.5121801
2021/1/1,212.1215443
2021/2/1,130.9214771
2021/3/1,140.7314464
2021/4/1,161.6111224
2021/5/1,138.2802417
2021/6/1,145.228969
2021/7/1,150.9400402
2021/8/1,184.0365768
2021/9/1,166.5903382
2021/10/1,205.4068874
2021/11/1,217.7257614
2021/12/1,255.3887188
2022/1/1,228.802427
2022/2/1,270.1533185
2022/3/1,364.9962043
2022/4/1,233.9176812
2022/5/1,287.7822542
2022/6/1,250.1046728
2022/7/1,289.7007691
2022/8/1,219.964998
2022/9/1,240.2163454
2022/10/1,324.0391821
2022/11/1,256.8474819
2022/12/1,260.7699787
2023/1/1,251.3682387
2023/2/1,264.3936801
2023/3/1,326.1942872
2023/4/1,266.550933
2023/5/1,206.3559443
2023/6/1,192.3544919
2023/7/1,184.4209527
2023/8/1,215.8719732
2023/9/1,196.1864557
2023/10/1,333.5769353
2023/11/1,239.1778861
2023/12/1,233.4369979
2024/1/1,252.6821702
2024/2/1,187.9255964
2024/3/1,145.4360477
2024/4/1,244.0782632
2024/5/1,208.4610875
2024/6/1,198.1856666
2024/7/1,177.9265258
2024/8/1,164.3227714
2024/9/1,176.2977285
2024/10/1,200.8960397
2024/11/1,481.3245904
2024/12/1,872.8770264
2025/1/1,789.4443847
2025/2/1,585.1457259
2025/3/1,614.2881017
2025/4/1,799.7648119
2025/5/1,588.9872045
2025/6/1,529.5451147
2025/7/1,492.6341147
2025/8/1,392.7208159
