date,CPU
2012/2/1,1.363314472
2012/3/1,1.904323729
2012/4/1,1.539988203
2012/5/1,3.239150105
2012/6/1,1.448531629
2012/7/1,2.482001793
2012/8/1,1.91807684
2012/9/1,2.048204762
2012/10/1,1.632431738
2012/11/1,1.371018769
2012/12/1,1.449479717
2013/1/1,1.656781809
2013/2/1,1.946187749
2013/3/1,0.346461516
2013/4/1,1.006252894
2013/5/1,0.669774012
2013/6/1,1.305530842
2013/7/1,0.300329294
2013/8/1,0.687331474
2013/9/1,0
2013/10/1,1.775993568
2013/11/1,1.117607381
2013/12/1,0.35856083
2014/1/1,2.211066981
2014/2/1,3.418286216
2014/3/1,1.424520838
2014/4/1,0.497951538
2014/5/1,2.128020677
2014/6/1,0.828953819
2014/7/1,1.063863549
2014/8/1,1.399998353
2014/9/1,2.562717299
2014/10/1,2.675776021
2014/11/1,2.088137267
2014/12/1,1.149314664
2015/1/1,2.376788697
2015/2/1,1.548048079
2015/3/1,0.953928633
2015/4/1,1.465863856
2015/5/1,0.48402095
2015/6/1,2.381980253
2015/7/1,0.392634964
2015/8/1,0
2015/9/1,0
2015/10/1,1.806914337
2015/11/1,0.513769115
2015/12/1,1.400452367
2016/1/1,1.473516539
2016/2/1,2.343536615
2016/3/1,0.808695678
2016/4/1,0.73446518
2016/5/1,1.876845982
2016/6/1,1.249276031
2016/7/1,2.404053096
2016/8/1,1.07247676
2016/9/1,1.159311388
2016/10/1,1.023713948
2016/11/1,1.26876586
2016/12/1,1.939736298
2017/1/1,0.709661954
2017/2/1,0.409151926
2017/3/1,2.184226858
2017/4/1,0.846502974
2017/5/1,1.147482309
2017/6/1,1.984283065
2017/7/1,1.069501937
2017/8/1,0
2017/9/1,2.419426814
2017/10/1,1.867899806
2017/11/1,2.063965454
2017/12/1,1.392953655
2018/1/1,1.200365499
2018/2/1,0
2018/3/1,0.317541319
2018/4/1,0.646549725
2018/5/1,0.578684746
2018/6/1,0.93565778
2018/7/1,1.405740534
2018/8/1,1.660068164
2018/9/1,0.646462616
2018/10/1,1.284732301
2018/11/1,1.058439931
2018/12/1,1.151352375
2019/1/1,1.469080274
2019/2/1,0.923512098
2019/3/1,0.942930897
2019/4/1,0
2019/5/1,0.509279429
2019/6/1,0.758418497
2019/7/1,0.986383189
2019/8/1,1.446518028
2019/9/1,2.171158834
2019/10/1,1.989260054
2019/11/1,1.466411396
2019/12/1,1.8792145
2020/1/1,1.513381784
2020/2/1,0.258406331
2020/3/1,1.010302012
2020/4/1,1.499664856
2020/5/1,0.959748179
2020/6/1,1.989466252
2020/7/1,0.696993918
2020/8/1,2.042465052
2020/9/1,0.27653558
2020/10/1,0.56514401
2020/11/1,1.435001103
2020/12/1,0.846453197
2021/1/1,2.019632035
2021/2/1,0.640081065
2021/3/1,1.817867408
2021/4/1,1.500894927
2021/5/1,0.579430144
2021/6/1,0.56676837
2021/7/1,1.145397499
2021/8/1,1.223786021
2021/9/1,1.378150605
2021/10/1,0.638179778
2021/11/1,1.092058193
2021/12/1,2.970599611
2022/1/1,1.576301256
2022/2/1,0.417748652
2022/3/1,1.142684939
2022/4/1,1.547992587
2022/5/1,2.530347081
2022/6/1,1.062502441
2022/7/1,0.994160624
2022/8/1,0.656846136
2022/9/1,1.642340164
2022/10/1,0
2022/11/1,1.680691092
2022/12/1,1.015911104
2023/1/1,1.446711866
2023/2/1,2.65527615
2023/3/1,0.964474577
2023/4/1,1.456725942
2023/5/1,0.484509696
2023/6/1,2.473840494
2023/7/1,3.196157488
2023/8/1,0.475294957
2023/9/1,2.417341148
2023/10/1,5.344357153
2023/11/1,6.610575804
2023/12/1,2.925967152
2024/1/1,2.803026555
2024/2/1,1.505644166
2024/3/1,0.848579609
2024/4/1,3.196595397
2024/5/1,1.038576736
2024/6/1,3.433206687
2024/7/1,3.84136997
2024/8/1,3.964197217
2024/9/1,1.626988498
2024/10/1,3.432127022
2024/11/1,6.177129315
2024/12/1,3.058896752
2025/1/1,8.360892804
2025/2/1,8.613823038
2025/3/1,7.594777882
2025/4/1,9.675355009
2025/5/1,8.67835627
2025/6/1,7.827154272
2025/7/1,9.474401064
2025/8/1,7.084049515
